Movie User Rating 
1.0 1 5.0
5.0 1 2.0
7.0 1 0.0
10.0 1 3.0
14.0 1 3.0
17.0 1 0.0
21.0 1 5.0
32.0 1 5.0
34.0 1 5.0
39.0 1 4.0
45.0 1 3.0
47.0 1 5.0
50.0 1 5.0
52.0 1 5.0
62.0 1 3.0
92.0 1 3.0
95.0 1 4.0
104.0 1 5.0
107.0 1 1.0
110.0 1 4.0
112.0 1 4.0
118.0 1 3.0
141.0 1 3.0
144.0 1 4.0
151.0 1 3.0
153.0 1 0.0
156.0 1 1.0
157.0 1 1.0
162.0 1 5.0
165.0 1 3.0
168.0 1 0.0
171.0 1 3.0
180.0 1 3.0
186.0 1 2.0
194.0 1 3.0
195.0 1 3.0
196.0 1 3.0
208.0 1 3.0
216.0 1 3.0
223.0 1 5.0
224.0 1 3.0
231.0 1 5.0
234.0 1 2.0
235.0 1 5.0
247.0 1 1.0
252.0 1 2.0
253.0 1 3.0
256.0 1 0.0
260.0 1 5.0
276.0 1 2.0
278.0 1 3.0
281.0 1 4.0
318.0 1 5.0
333.0 1 3.0
344.0 1 5.0
345.0 1 3.0
348.0 1 4.0
353.0 1 4.0
356.0 1 3.0
364.0 1 3.0
367.0 1 5.0
368.0 1 3.0
370.0 1 3.0
372.0 1 2.0
374.0 1 1.0
377.0 1 3.0
413.0 1 2.0
415.0 1 2.0
419.0 1 1.0
433.0 1 2.0
440.0 1 4.0
441.0 1 2.0
474.0 1 4.0
480.0 1 4.0
492.0 1 3.0
497.0 1 4.0
500.0 1 3.0
514.0 1 3.0
520.0 1 3.0
529.0 1 4.0
535.0 1 4.0
541.0 1 5.0
551.0 1 4.0
553.0 1 3.0
585.0 1 3.0
586.0 1 3.0
587.0 1 3.0
588.0 1 5.0
589.0 1 5.0
590.0 1 5.0
592.0 1 5.0
593.0 1 5.0
595.0 1 4.0
597.0 1 3.0
603.0 1 1.0
608.0 1 5.0
610.0 1 4.0
613.0 1 0.0
627.0 1 3.0
637.0 1 2.0
648.0 1 3.0
653.0 1 3.0
663.0 1 0.0
664.0 1 0.0
700.0 1 5.0
707.0 1 4.0
708.0 1 3.0
710.0 1 0.0
nan 1 nan
733.0 1 4.0
736.0 1 2.0
748.0 1 4.0
761.0 1 3.0
780.0 1 3.0
799.0 1 1.0
800.0 1 5.0
838.0 1 0.0
852.0 1 4.0
904.0 1 5.0
913.0 1 5.0
924.0 1 4.0
1010.0 1 2.0
1036.0 1 5.0
1049.0 1 3.0
1073.0 1 5.0
1079.0 1 3.0
1080.0 1 5.0
1091.0 1 3.0
1092.0 1 3.0
1097.0 1 3.0
1101.0 1 2.0
1125.0 1 5.0
1127.0 1 5.0
1135.0 1 4.0
1148.0 1 5.0
1171.0 1 5.0
1175.0 1 4.0
1179.0 1 2.0
1196.0 1 5.0
1197.0 1 5.0
1198.0 1 5.0
1199.0 1 4.0
1200.0 1 5.0
1203.0 1 5.0
1210.0 1 5.0
1213.0 1 4.0
1214.0 1 4.0
1220.0 1 4.0
1222.0 1 3.0
1225.0 1 5.0
1230.0 1 5.0
1231.0 1 3.0
1240.0 1 5.0
1243.0 1 4.0
1245.0 1 3.0
1246.0 1 4.0
1247.0 1 5.0
1253.0 1 5.0
1257.0 1 5.0
1258.0 1 4.0
1259.0 1 5.0
1265.0 1 3.0
1266.0 1 5.0
1268.0 1 2.0
1270.0 1 5.0
1275.0 1 4.0
1278.0 1 5.0
1279.0 1 4.0
1285.0 1 5.0
1288.0 1 5.0
1291.0 1 5.0
1294.0 1 5.0
1297.0 1 5.0
1307.0 1 5.0
1339.0 1 3.0
1340.0 1 4.0
1348.0 1 4.0
1356.0 1 4.0
1370.0 1 3.0
1372.0 1 5.0
1374.0 1 5.0
1375.0 1 3.0
1376.0 1 5.0
1377.0 1 5.0
1378.0 1 4.0
1379.0 1 4.0
1380.0 1 5.0
1385.0 1 2.0
1387.0 1 3.0
1391.0 1 4.0
1393.0 1 4.0
1396.0 1 3.0
1.0 2 5.0
2.0 2 5.0
5.0 2 2.0
10.0 2 3.0
16.0 2 3.0
19.0 2 5.0
22.0 2 5.0
23.0 2 5.0
31.0 2 5.0
32.0 2 4.0
36.0 2 5.0
39.0 2 4.0
44.0 2 5.0
47.0 2 5.0
48.0 2 5.0
50.0 2 4.0
60.0 2 5.0
